HOUSENAME ,SIZE,SUBFREE,QUIET,MENS,WOMENS
WATS 604,Single,,,,
WATS 611,Single,,,,
FACL 202,Single,,,,
FACL 104,Single,,,,
WATS 211,Single,,,,
CASS 403,Double,,,,
WATS 605,Single,,,,
NOUR 106A,Double,,,,
WATS 302,Single,,,,
WATS 309,Single,,,,
CASS 313,Double,,,,
CASS 328,Double,,,,
DAVI 209,Double,,,,
WATS 512,Single,,,,
NOUR 304A,Double,,,,
CASS 426,Double,,,,
DAVI 407,Double,,,,
WATS 608,Single,,,,
DAVI 210,Double,,,,
NOUR 216,Triple,,,,
WATS 505,Single,,,,
BURT 406,Double,,,,
EVAN 309,Double,,,,
NOUR 407A,Double,,,,
MUSS 211,Single,,,,
CASS 309,Double,,,,
BURT 125A,Double,,,,
DAVI 408,Double,,,,
WATS 518,Single,,,,
PRSH 204,Double,,,,
WATS 711,Single,,,,
PRSH 210A,Triple,,,,
GHUE 202,Single,,,,
MUSS 227,Single,,,,
WATS 709,Single,,,,
MUSS 427,Single,,,,
MUSS 328,Single,,,,
WATS 502,Single,,,,
NOUR 301A,Triple,,,,
WATS 201,Single,,,,
WATS 408,Single,,,,
MUSS 414,Single,,,,
WATS 205,Single,,,,
WATS 602,Single,,,,
WATS 304,Single,,,,
EVAN 313,Quad,,,,
WATS 219,Single,,,,
WATS 409,Single,,,,
WATS 716,Single,,,,
WATS 204,Single,,,,
WATS 509,Single,,,,
WATS 319,Single,,,,
WATS 415,Single,,,,
CASS 228,Double,,,,
WATS 618,Single,,,,
WATS 411,Single,,,,
WATS 208,Single,,,,
WATS 216,Single,,,,
WATS 718,Single,,,,
GHUE 208,Single,,,,
GHUE 319,Single,,,,
WATS 515,Single,,,,
WATS 516,Single,,,,
WATS 504,Single,,,,
MUSS 311,Single,,,,
WATS 412,Single,,,,
EVAN 407,Double,,,,
WATS 405,Single,,,,
EVAN 300,Triple,,,,
EVAN 316,Triple,,,,
BURT 126A,Double,,,,
DAVI 106,Double,,,,
WATS 416,Single,,,,
EVAN 403,Triple,,,,
EVAN 7,Double,,,,
EVAN 216,Triple,,,,
EVAN 10,Quad,,,,
EVAN 200,Triple,,,,
EVAN 314,Quad,,,,
BURT 302A,Triple,,,,
CASS 209,Double,,,,
MYER 404,Double,,,,
EVAN 214,Quad,,,,
NOUR 309A,Double,,,,
WATS 717,Double,,,,
BURT 301A,Triple,,,,
EVAN 406,Quint,,,,
DAVI 306,Double,,,,
EVAN 303,Triple,,,,
DAVI 107,Double,,,,
EVAN 122,Triple,,,,
EVAN 17,Quad,,,,
EVAN 307,Triple,,,,
CASS 207,Double,,,,
EVAN 212,Double,,,,
EVAN 5,Quad,,,,
EVAN 415,Triple,,,,
BURT 409,Double,,,,
NOUR 208A,Triple,,,,
EVAN 118,Double,,,,
MYER 445,Double,,,,
PRSH 213,Double,,,,
NOUR 201A,Triple,,,,
EVAN 11,Double,,,,
WATS 418,Single,,,,
GHUE 216,Double,,,,
MYER 406,Double,,,,
EVAN 207,Triple,,,,
EVAN 111,Quad,,,,
EVAN 308,Double,,,,
NOUR 206A,Double,,,,
EVAN 211,Quad,,,,
EVAN 209,Double,,,,
EVAN 312,Double,,,,
WATS 607,Double,,,,
EVAN 204,Triple,,,,
WATS 710,Double,,,,
WATS 410,Double,,,,
RICE 204A,Triple,,,,
BURT 106A,Double,,,,
GHUE 309,Double,,,,
MYER 401,Double,,,,
MUSS 426,Double,,,,
WATS 417,Double,,,,
BURT 110A,Double,,,,
ALLE 207,Double,,,,
EVAN 412,Quad,,,,
GHUE 218,Double,,,,
MUSS 428,Single,,,,
WATS 307,Double,,,,
MUSS 303,Double,,,,
EVAN 18,Triple,,,,
EVAN 208,Double,,,,
GHUE 408,Single,,,,
MYER 438,Double,,,,
MUSS 208,Double,,,,
MYER 211,Double,,,,
BURT 417,Double,,,,
WATS 610,Double,,,,
EVAN 400,Triple,,,,
WATS 510,Double,,,,
EVAN 304,Triple,,,,
MYER 408,Double,,,,
MYER 446,Double,,,,
EVAN 413,Triple,,,,
MYER 206,Double,,,,
GHUE 409,Double,,,,
MYER 241,Double,,,,
GHUE 419,Single,,,,
GHUE 403,Double,,,,
EVAN 311,Quad,,,,
BURT 401,Double,,,,
MYER 341,Double,,,,
NOUR 303A,Triple,,,,
RICE 105A,Double,,,,
MYER 301,Double,,,,
MYER 236,Double,,,,
MYER 302,Double,,,,
EVAN 108,Triple,,,,
MUSS 424,Double,,,,
MUSS 420,Double,,,,
GHUE 219,Single,,,,
EVAN 106,Triple,,,,
MYER 336,Double,,,,
GHUE 318,Double,,,,
MYER 203,Double,,,,
GHUE 303,Double,,,,
MYER 242,Double,,,,
GHUE 445,Double,,,,
